SNo,ObservationDate,Province/State,Country/Region,Confirmed,Deaths,Recovered,Time,latitude,longitude
147,"Jun 16, 2020",Hebei,Mainland China,8,1,0,05:00 PM,6.4281,-9.4295
148,"Jun 17, 2020",Inner Mongolia,Mainland China,7,0,0,05:00 PM,47.14,9.55
149,"Jun 18, 2020",Shanxi,Mainland China,6,0,0,05:00 PM,55.1694,23.8813
150,"Jun 19, 2020",Hong Kong,Hong Kong,5,0,0,05:00 PM,49.8153,6.1296
151,"Jun 20, 2020",Guizhou,Mainland China,4,0,0,05:00 PM,-18.7669,46.8691
152,"Jun 21, 2020",Jilin,Mainland China,4,0,0,05:00 PM,2.5,112.5
153,"Jun 22, 2020",Gansu,Mainland China,4,0,0,05:00 PM,3.2028,73.2207
154,"Jun 23, 2020",Ningxia,Mainland China,3,0,0,05:00 PM,35.9375,14.3754
155,"Jun 24, 2020",Taiwan,Taiwan,3,0,0,05:00 PM,21.0079,10.9408
156,"Jun 25, 2020",Xinjiang,Mainland China,3,0,0,05:00 PM,-20.2,57.5
157,,Macau,Macau,2,0,0,05:00 PM,23.6345,-102.5528
158,,Qinghai,Mainland China,1,0,0,05:00 PM,47.4116,28.3699
159,,Washington,US,1,0,0,05:00 PM,43.7333,7.4167
160,,Illinois,US,1,0,0,05:00 PM,46.8625,103.8467
161,,,Japan,2,0,0,05:00 PM,42.5,19.3
162,,,Thailand,7,0,0,05:00 PM,31.7917,-7.0926
163,,,South Korea,2,0,0,05:00 PM,-22.9576,18.4904
164,,,Singapore,3,0,0,05:00 PM,28.1667,84.25
165,,,Vietnam,2,0,0,05:00 PM,12.5186,-70.0358
166,,,France,3,0,0,05:00 PM,12.1696,-68.99
167,,,Australia,4,0,0,05:00 PM,18.0425,-63.0548
168,,,Nepal,1,0,0,05:00 PM,52.1326,5.2913
169,,,Malaysia,3,0,0,05:00 PM,-40.9006,174.886
170,,Hubei,Mainland China,1058,52,42,04:00 PM,12.8654,-85.2072
171,,Guangdong,Mainland China,111,0,2,04:00 PM,17.6078,8.0817
172,,Zhejiang,Mainland China,104,0,1,04:00 PM,9.082,8.6753
173,,Henan,Mainland China,83,1,0,04:00 PM,41.6086,21.7453
174,,Chongqing,Mainland China,75,0,0,04:00 PM,60.472,8.4689
175,,Hunan,Mainland China,69,0,0,04:00 PM,21,57
176,,Beijing,Mainland China,68,0,2,04:00 PM,30.3753,69.3451
177,,Anhui,Mainland China,60,0,0,04:00 PM,8.538,-80.7821
178,,Shandong,Mainland China,46,0,0,04:00 PM,-6.315,143.9555
179,,Sichuan,Mainland China,44,0,0,04:00 PM,-23.4425,-58.4438
180,,Shanghai,Mainland China,40,1,1,04:00 PM,-9.19,-75.0152
181,,Guangxi,Mainland China,36,0,0,04:00 PM,13,122
182,,Jiangxi,Mainland China,36,0,0,04:00 PM,51.9194,19.1451
183,,Fujian,Mainland China,35,0,0,04:00 PM,39.3999,-8.2245
184,,Jiangsu,Mainland China,33,0,1,04:00 PM,25.3548,51.1839
185,,Hainan,Mainland China,22,0,0,04:00 PM,45.9432,24.9668
186,,Shaanxi,Mainland China,22,0,0,04:00 PM,60,90
187,,Liaoning,Mainland China,21,0,0,04:00 PM,-1.9403,29.8739
188,,Yunnan,Mainland China,16,0,0,04:00 PM,13.9094,-60.9789
189,,Heilongjiang,Mainland China,15,1,0,04:00 PM,12.9843,-61.2872
190,,Tianjin,Mainland China,14,0,0,04:00 PM,43.9424,12.4578
191,,Hebei,Mainland China,13,1,0,04:00 PM,24,45
192,,Shanxi,Mainland China,9,0,0,04:00 PM,14.4974,-14.4524
193,,Hong Kong,Hong Kong,8,0,0,04:00 PM,44.0165,21.0059
194,,Inner Mongolia,Mainland China,7,0,0,04:00 PM,-4.6796,55.492
195,,Gansu,Mainland China,7,0,0,04:00 PM,1.2833,103.8333
196,,Guizhou,Mainland China,5,0,0,04:00 PM,48.669,19.699
197,,Macau,Macau,5,0,0,04:00 PM,46.1512,14.9955
198,,Ningxia,Mainland China,4,0,0,04:00 PM,5.1521,46.1996
199,,Jilin,Mainland China,4,0,0,04:00 PM,-30.5595,22.9375
200,,Taiwan,Taiwan,4,0,0,04:00 PM,40,-4
201,,Xinjiang,Mainland China,4,0,0,04:00 PM,7,81
202,,Qinghai,Mainland China,1,0,0,04:00 PM,12.8628,30.2176
203,,Washington,US,1,0,0,04:00 PM,3.9193,-56.0278
204,,Illinois,US,1,0,0,04:00 PM,63,16
205,,California,US,2,0,0,04:00 PM,46.8182,8.2275
206,,Arizona,US,1,0,0,04:00 PM,23.7,121
207,,,Japan,4,0,1,04:00 PM,-6.369,34.8888
208,,,Thailand,8,0,2,04:00 PM,15,101
209,,,South Korea,3,0,0,04:00 PM,8.6195,0.8248
210,,,Singapore,4,0,0,04:00 PM,10.6918,-61.2225
211,,,Vietnam,2,0,0,04:00 PM,34,9
212,,,France,3,0,0,04:00 PM,38.9637,35.2433
213,,,Australia,4,0,0,04:00 PM,1,32
214,,,Nepal,1,0,0,04:00 PM,48.3794,31.1656
215,,,Malaysia,4,0,0,04:00 PM,24,54
216,,Ontario,Canada,1,0,0,04:00 PM,32.3078,-64.7505
217,,Hubei,Mainland China,1423,76,45,11:59 PM,19.3133,-81.2546
218,,Guangdong,Mainland China,151,0,4,11:59 PM,49.3723,-2.3644
219,,Zhejiang,Mainland China,128,0,1,11:59 PM,36.1408,-5.3536
220,,Henan,Mainland China,128,1,0,11:59 PM,54.2361,-4.5481
221,,Chongqing,Mainland China,110,0,0,11:59 PM,16.7425,-62.1874
222,,Hunan,Mainland China,100,0,0,11:59 PM,55.3781,-3.436
223,,Beijing,Mainland China,80,1,2,11:59 PM,-32.5228,-55.7658
224,,Shandong,Mainland China,75,0,0,11:59 PM,37.0902,-95.7129
225,,Jiangxi,Mainland China,72,0,2,11:59 PM,41.3775,64.5853
226,,Anhui,Mainland China,70,0,0,11:59 PM,6.4238,-66.5897
227,,Sichuan,Mainland China,69,0,0,11:59 PM,16,108
228,,Fujian,Mainland China,59,0,0,11:59 PM,-15.4167,28.2833
229,,Shanghai,Mainland China,53,1,3,11:59 PM,-20,30
230,,Jiangsu,Mainland China,47,0,1,11:59 PM,15.415,-61.371
231,,Guangxi,Mainland China,46,0,0,11:59 PM,12.1165,-61.679
